survived,sex,age,sibsp,fare
1,female,29,0,211.3375
1,male,0.9167,1,151.55
0,female,2,1,151.55
0,male,30,1,151.55
0,female,25,1,151.55
1,male,48,0,26.55
1,female,63,1,77.9583
0,male,39,0,0
1,female,53,2,51.4792
0,male,71,0,49.5042
0,male,47,1,227.525
1,female,18,1,227.525
1,female,24,0,69.3
1,female,26,0,78.85
1,male,80,0,30
0,male,,0,25.925
0,male,24,0,247.5208
1,female,50,0,247.5208
1,female,32,0,76.2917
0,male,36,0,75.2417
1,male,37,1,52.5542
1,female,47,1,52.5542
1,male,26,0,30
1,female,42,0,227.525
1,female,29,0,221.7792
0,male,25,0,26
1,male,25,1,91.0792
1,female,19,1,91.0792
1,female,35,0,135.6333
1,male,28,0,26.55
0,male,45,0,35.5
1,male,40,0,31
1,female,30,0,164.8667
1,female,58,0,26.55
0,male,42,0,26.55
1,female,45,0,262.375
1,female,22,0,55
1,male,,0,26.55
0,male,41,0,30.5
0,male,48,0,50.4958
0,male,,0,39.6
1,female,44,0,27.7208
1,female,59,2,51.4792
1,female,60,0,76.2917
1,female,41,0,134.5
0,male,45,0,26.55
0,male,,0,31
1,male,42,0,26.2875
1,female,53,0,27.4458
1,male,36,0,512.3292
1,female,58,0,512.3292
0,male,33,0,5
0,male,28,0,47.1
0,male,17,0,47.1
1,male,11,1,120
1,female,14,1,120
1,male,36,1,120
1,female,36,1,120
0,male,49,0,26
1,female,,0,27.7208
0,male,36,1,78.85
1,female,76,1,78.85
0,male,46,1,61.175
1,female,47,1,61.175
1,male,27,1,53.1
1,female,33,1,53.1
1,female,36,0,262.375
1,female,30,0,86.5
1,male,45,0,29.7
1,female,,0,55
0,male,,0,0
0,male,27,1,136.7792
1,female,26,1,136.7792
1,female,22,0,151.55
0,male,,0,52
0,male,47,0,25.5875
1,female,39,1,83.1583
0,male,37,1,83.1583
1,female,64,0,83.1583
1,female,55,2,25.7
0,male,,0,26.55
0,male,70,1,71
1,female,36,0,71
1,female,64,1,26.55
0,male,39,1,71.2833
1,female,38,1,71.2833
1,male,51,0,26.55
1,male,27,0,30.5
1,female,33,0,151.55
0,male,31,1,52
1,female,27,1,52
1,male,31,1,57
1,female,17,1,57
1,male,53,1,81.8583
1,male,4,0,81.8583
1,female,54,1,81.8583
0,male,50,1,106.425
1,female,27,1,247.5208
1,female,48,1,106.425
1,female,48,1,39.6
1,male,49,1,56.9292
0,male,39,0,29.7
1,female,23,0,83.1583
1,female,38,0,227.525
1,female,54,1,78.2667
0,female,36,0,31.6792
0,male,,0,221.7792
1,female,,0,31.6833
1,female,,0,110.8833
1,male,36,0,26.3875
0,male,30,0,27.75
1,female,24,3,263
1,female,28,3,263
1,female,23,3,263
0,male,19,3,263
0,male,64,1,263
1,female,60,1,263
1,female,30,0,56.9292
0,male,,0,26.55
1,male,50,2,133.65
1,male,43,1,27.7208
1,female,,1,133.65
1,female,22,0,49.5
1,male,60,1,79.2
1,female,48,1,79.2
0,male,,0,0
0,male,37,1,53.1
1,female,35,1,53.1
0,male,47,0,38.5
1,female,35,0,211.5
1,female,22,0,59.4
1,female,45,0,59.4
0,male,24,0,79.2
1,male,49,1,89.1042
1,female,,1,89.1042
0,male,71,0,34.6542
1,male,53,0,28.5
1,female,19,0,30
0,male,38,0,153.4625
1,female,58,0,153.4625
1,male,23,0,63.3583
1,female,45,0,63.3583
0,male,46,0,79.2
1,male,25,1,55.4417
1,female,25,1,55.4417
1,male,48,1,76.7292
1,female,49,1,76.7292
0,male,,0,42.4
0,male,45,1,83.475
1,female,35,1,83.475
0,male,40,0,0
1,male,27,0,76.7292
1,male,,0,30
1,female,24,0,83.1583
0,male,55,1,93.5
1,female,52,1,93.5
0,male,42,0,42.5
0,male,,0,51.8625
0,male,55,0,50
1,female,16,0,57.9792
1,female,44,0,57.9792
1,female,51,1,77.9583
0,male,42,1,52
1,female,35,1,52
1,male,35,0,26.55
1,male,38,1,90
0,male,,0,30.6958
1,female,35,1,90
1,female,38,0,80
0,female,50,0,28.7125
1,male,49,0,0
0,male,46,0,26
0,male,50,0,26
0,male,32.5,0,211.5
0,male,58,0,29.7
0,male,41,1,51.8625
1,female,,1,51.8625
1,male,42,1,52.5542
1,female,45,1,52.5542
0,male,,0,26.55
1,female,39,0,211.3375
1,female,49,0,25.9292
1,female,30,0,106.425
1,male,35,0,512.3292
0,male,,0,27.7208
0,male,42,0,26.55
1,female,55,0,27.7208
1,female,16,0,39.4
1,female,51,0,39.4
0,male,29,0,30
1,female,21,0,77.9583
0,male,30,0,45.5
1,female,58,0,146.5208
1,female,15,0,211.3375
0,male,30,0,26
1,female,16,0,86.5
1,male,,0,29.7
0,male,19,1,53.1
1,female,18,1,53.1
1,female,24,0,49.5042
0,male,46,0,75.2417
0,male,54,0,51.8625
1,male,36,0,26.2875
0,male,28,1,82.1708
1,female,,1,82.1708
0,male,65,0,26.55
0,male,44,2,90
1,female,33,1,90
1,female,37,1,90
1,male,30,1,57.75
0,male,55,0,30.5
0,male,47,0,42.4
0,male,37,0,29.7
1,female,31,1,113.275
1,female,23,1,113.275
0,male,58,0,113.275
1,female,19,0,26.2833
0,male,64,0,26
1,female,39,0,108.9
1,male,,0,25.7417
1,female,22,0,61.9792
0,male,65,0,61.9792
0,male,28.5,0,27.7208
0,male,,0,0
0,male,45.5,0,28.5
0,male,23,0,93.5
0,male,29,1,66.6
1,female,22,1,66.6
0,male,18,1,108.9
1,female,17,1,108.9
1,female,30,0,93.5
1,male,52,0,30.5
0,male,47,0,52
1,female,56,0,83.1583
0,male,38,0,0
1,male,,0,39.6
0,male,22,0,135.6333
0,male,,0,227.525
1,female,43,0,211.3375
0,male,31,0,50.4958
1,male,45,0,26.55
0,male,,0,50
1,female,33,0,27.7208
0,male,46,0,79.2
0,male,36,0,40.125
1,female,33,0,86.5
0,male,55,1,59.4
1,female,54,1,59.4
0,male,33,0,26.55
1,male,13,2,262.375
1,female,18,2,262.375
1,female,21,2,262.375
0,male,61,1,262.375
1,female,48,1,262.375
1,male,,0,30.5
1,female,24,0,69.3
1,male,,0,26
1,female,35,1,57.75
1,female,30,0,31
1,male,34,0,26.55
1,female,40,0,153.4625
1,male,35,0,26.2875
0,male,50,1,55.9
1,female,39,1,55.9
1,male,56,0,35.5
1,male,28,0,35.5
0,male,56,0,26.55
0,male,56,0,30.6958
0,male,24,1,60
0,male,,0,26
1,female,18,1,60
1,male,24,1,82.2667
1,female,23,1,82.2667
1,male,6,0,134.5
1,male,45,1,134.5
1,female,40,1,134.5
0,male,57,1,146.5208
1,female,,1,146.5208
1,male,32,0,30.5
0,male,62,0,26.55
1,male,54,1,55.4417
1,female,43,1,55.4417
1,female,52,1,78.2667
0,male,,0,27.7208
1,female,62,0,80
0,male,67,1,221.7792
0,female,63,1,221.7792
0,male,61,0,32.3208
1,female,48,0,25.9292
1,female,18,0,79.65
0,male,52,1,79.65
1,female,39,1,79.65
1,male,48,1,52
1,female,,1,52
0,male,49,1,110.8833
1,male,17,0,110.8833
1,female,39,1,110.8833
1,female,,0,79.2
1,male,31,0,28.5375
0,male,40,0,27.7208
0,male,61,0,33.5
0,male,47,0,34.0208
1,female,35,0,512.3292
0,male,64,1,75.25
1,female,60,1,75.25
0,male,60,0,26.55
0,male,54,0,77.2875
0,male,21,0,77.2875
1,female,55,0,135.6333
1,female,31,0,164.8667
0,male,57,1,164.8667
1,female,45,1,164.8667
0,male,50,1,211.5
0,male,27,0,211.5
1,female,50,1,211.5
1,female,21,0,26.55
0,male,51,0,61.3792
1,male,21,0,61.3792
0,male,,0,35
1,female,31,0,134.5
1,male,,0,35.5
0,male,62,0,26.55
1,female,36,0,135.6333
0,male,30,1,24
1,female,28,1,24
0,male,30,0,13
0,male,18,0,11.5
0,male,25,0,10.5
0,male,34,1,26
1,female,36,1,26
0,male,57,0,13
0,male,18,0,11.5
0,male,23,0,10.5
1,female,36,0,13
0,male,28,0,10.5
0,male,51,0,12.525
1,male,32,1,26
1,female,19,1,26
0,male,28,0,26
1,male,1,2,39
1,female,4,2,39
1,female,12,2,39
1,female,36,0,39
1,male,34,0,13
1,female,19,0,13
0,male,23,0,13
0,male,26,0,13
0,male,42,0,13
0,male,27,0,13
1,female,24,0,13
1,female,15,0,39
0,male,60,1,39
1,female,40,1,39
1,female,20,1,26
0,male,25,1,26
1,female,36,0,13
0,male,25,0,13
0,male,42,0,13
1,female,42,0,13
1,male,0.8333,0,29
1,male,26,1,29
1,female,22,1,29
1,female,35,0,21
0,male,,0,0
0,male,19,0,13
0,female,44,1,26
0,male,54,1,26
0,male,52,0,13.5
0,male,37,1,26
0,female,29,1,26
1,female,25,1,30
1,female,45,0,30
0,male,29,1,26
1,female,28,1,26
0,male,29,0,10.5
0,male,28,0,13
1,male,24,0,10.5
1,female,8,0,26.25
0,male,31,1,26.25
1,female,31,1,26.25
1,female,22,0,10.5
0,female,30,0,13
0,female,,0,21
0,male,21,0,11.5
0,male,,0,0
1,male,8,1,36.75
0,male,18,0,73.5
1,female,48,0,36.75
1,female,28,0,13
0,male,32,0,13
0,male,17,0,73.5
0,male,29,1,27.7208
1,female,24,1,27.7208
0,male,25,0,31.5
0,male,18,0,73.5
1,female,18,0,23
1,female,34,0,23
0,male,54,0,26
1,male,8,0,32.5
0,male,42,1,32.5
1,female,34,1,32.5
1,female,27,1,13.8583
1,female,30,1,13.8583
0,male,23,0,13
0,male,21,0,13
0,male,18,0,13
0,male,40,1,26
1,female,29,1,26
0,male,18,0,10.5
0,male,36,0,13
0,male,,0,0
0,female,38,0,13
0,male,35,0,26
0,male,38,1,21
0,male,34,1,21
1,female,34,0,13
0,male,16,0,26
0,male,26,0,10.5
0,male,47,0,10.5
0,male,21,1,11.5
0,male,21,1,11.5
0,male,24,0,13.5
0,male,24,0,13
0,male,34,0,13
0,male,30,0,13
0,male,52,0,13
0,male,30,0,13
1,male,0.6667,1,14.5
1,female,24,0,14.5
0,male,44,0,13
1,female,6,0,33
0,male,28,0,33
1,male,62,0,10.5
0,male,30,0,10.5
1,female,7,0,26.25
0,male,43,1,26.25
1,female,45,1,26.25
1,female,24,1,65
1,female,24,1,65
0,male,49,1,65
1,female,48,1,65
1,female,55,0,16
0,male,24,2,73.5
0,male,32,2,73.5
0,male,21,2,73.5
0,female,18,1,13
1,female,20,2,23
0,male,23,2,11.5
0,male,36,0,13
1,female,54,1,23
0,male,50,0,13
0,male,44,1,26
1,female,29,1,26
0,male,21,0,73.5
1,male,42,0,13
0,male,63,1,26
0,female,60,1,26
0,male,33,0,12.275
1,female,17,0,10.5
0,male,42,1,27
1,female,24,2,27
0,male,47,0,15
0,male,24,2,31.5
0,male,22,2,31.5
0,male,32,0,10.5
1,female,23,0,13.7917
0,male,34,1,26
1,female,24,1,26
0,female,22,0,21
1,female,,0,12.35
0,male,35,0,12.35
1,female,45,0,13.5
0,male,57,0,12.35
0,male,,0,0
0,male,31,0,10.5
0,female,26,1,26
0,male,30,1,26
0,male,,0,10.7083
1,female,1,1,41.5792
1,female,3,1,41.5792
0,male,25,1,41.5792
1,female,22,1,41.5792
1,female,17,0,12
1,female,,0,33
1,female,34,0,10.5
0,male,36,0,12.875
0,male,24,0,10.5
0,male,61,0,12.35
0,male,50,1,26
1,female,42,1,26
0,female,57,0,10.5
0,male,,0,15.0458
1,male,1,0,37.0042
0,male,31,1,37.0042
1,female,24,1,37.0042
0,male,,0,15.5792
0,male,30,0,13
0,male,40,0,16
0,male,32,0,13.5
0,male,30,0,13
0,male,46,0,26
1,female,13,0,19.5
1,female,41,0,19.5
1,male,19,0,10.5
0,male,39,0,13
0,male,48,0,13
0,male,70,0,10.5
0,male,27,0,13
0,male,54,0,14
0,male,39,0,26
0,male,16,0,10.5
0,male,62,0,9.6875
0,male,32.5,1,30.0708
1,female,14,1,30.0708
1,male,2,1,26
1,male,3,1,26
0,male,36.5,0,26
0,male,26,0,13
0,male,19,1,36.75
0,male,28,0,13.5
1,male,20,0,13.8625
1,female,29,0,10.5
0,male,39,0,13
1,male,22,0,10.5
1,male,,0,13.8625
0,male,23,0,10.5
1,male,29,0,13.8583
0,male,28,0,10.5
0,male,,0,0
1,female,50,0,26
0,male,19,0,10.5
0,male,,0,15.05
0,male,41,0,13
1,female,21,0,21
1,female,19,0,26
0,male,43,0,21
1,female,32,0,13
0,male,34,0,13
1,male,30,0,12.7375
0,male,27,0,15.0333
1,female,2,1,26
1,female,8,1,26
1,female,33,0,26
0,male,36,0,10.5
0,male,34,1,21
1,female,30,3,21
1,female,28,0,13
0,male,23,0,15.0458
1,male,0.8333,1,18.75
1,male,3,1,18.75
1,female,24,2,18.75
1,female,50,0,10.5
0,male,19,0,10.5
1,female,21,0,10.5
0,male,26,0,13
0,male,25,0,13
0,male,27,0,26
1,female,25,0,26
1,female,18,0,13
1,female,20,0,36.75
1,female,30,0,13
0,male,59,0,13.5
1,female,30,0,12.35
0,male,35,0,10.5
1,female,40,0,13
0,male,25,0,13
0,male,41,0,15.0458
0,male,25,0,10.5
0,male,18.5,0,13
0,male,14,0,65
1,female,50,0,10.5
0,male,23,0,13
1,female,28,0,12.65
1,female,27,0,10.5
0,male,29,1,21
0,female,27,1,21
0,male,40,0,13
1,female,31,0,21
0,male,30,1,21
0,male,23,1,10.5
1,female,31,0,21
0,male,,0,0
1,female,12,0,15.75
1,female,40,0,15.75
1,female,32.5,0,13
0,male,27,1,26
1,female,29,1,26
1,male,2,1,23
1,female,4,1,23
1,female,29,0,23
1,female,0.9167,1,27.75
1,female,5,1,27.75
0,male,36,1,27.75
1,female,33,1,27.75
0,male,66,0,10.5
0,male,,0,12.875
1,male,31,0,13
1,male,,0,13
1,female,26,0,13.5
0,female,24,0,13
0,male,42,0,7.55
0,male,13,0,20.25
0,male,16,1,20.25
1,female,35,1,20.25
1,female,16,0,7.65
1,male,25,0,7.65
1,male,20,0,7.925
1,female,18,0,7.2292
0,male,30,0,7.25
0,male,26,0,8.05
0,female,40,1,9.475
1,male,0.8333,0,9.35
1,female,18,0,9.35
1,male,26,0,18.7875
0,male,26,0,7.8875
0,male,20,0,7.925
0,male,24,0,7.05
0,male,25,0,7.05
0,male,35,0,8.05
0,male,18,0,8.3
0,male,32,0,22.525
1,female,19,1,7.8542
0,male,4,4,31.275
0,female,6,4,31.275
0,female,2,4,31.275
1,female,17,4,7.925
0,female,38,4,7.775
0,female,9,4,31.275
0,female,11,4,31.275
0,male,39,1,31.275
1,male,27,0,7.7958
0,male,26,0,7.775
0,female,39,1,31.275
0,male,20,0,7.8542
0,male,26,0,7.8958
0,male,25,1,17.8
0,female,18,1,17.8
0,male,24,0,7.775
0,male,35,0,7.05
0,male,5,4,31.3875
0,male,9,4,31.3875
1,male,3,4,31.3875
0,male,13,4,31.3875
1,female,5,4,31.3875
0,male,40,1,31.3875
1,male,23,0,7.7958
1,female,38,1,31.3875
1,female,45,0,7.225
0,male,21,0,7.225
0,male,23,0,7.05
0,female,17,0,14.4583
0,male,30,0,7.225
0,male,23,0,7.8542
1,female,13,0,7.2292
